,table_name,table_artist,table_data,table_key,table_camelot,table_bpm,table_energy,table_link,table_descr
92,Karma,2BYG,2025-04-25,D♭ Minor,12A,206,8,/track/7DceR0WNzszl53i1b43HPp/Karma-by-2BYG,"2BYG's ' ""Karma"" was released on its scheduled release date, April 25, 2025. The duration of This song is about two minutes long, specifically at 2:40. This song does not appear to have any foul language. Karma's duration is considered a little bit shorter than the average duration of a typical track. Because this song is the only song in Karma and no other songs are present in the album, we classify this track as a single. On top of that, United States appears to be the country where this track was created. The popularity of Karma is currently unknown right now. The overall mood can be danceable to some, especially with it's high amount of postive energy. "
93,Questions,Bells Larsen,2025-04-22,B♭ Minor,3A,119,0,/track/7GHms8hXY5JGws8Fq43pEl/Questions-by-Bells-Larsen,"""Questions"" by Bells Larsen had its release date on April 22, 2025. With this song being around four minutes long, at 4:25, the duration of this song is pretty average compared to other songs. This track is safe for children and doesn't appear to contain any foul language, since the ""Explicit"" tag was not present in this track. There are a total of 4 in the song's album ""Questions"". In this album, this song's track order is #1. Furthermore, we believe that the track originated from United States. In terms of popularity, Questions is currently unknown. Although the overall vibe is very danceable, it does project more negative sounds. "
94,Nina,Cold Court,2025-04-25,F♯ Minor,11A,145,9,/track/7b69iiHJHiZG3xebISnGlt/Nina-by-Cold-Court,"Cold Court's ' ""Nina"" was released on its scheduled release date, April 25, 2025. The duration of This song is about 3 minutes long, at 3:27. Based on our data, This song appears to be safe for all ages and is not considered explicit. This track is about the average length of a typical track. Because this song is the only song in Nina and no other songs are present in the album, we classify this track as a single. Based on our statistics, Nina's popularity is unknown right now. The overall mood can be danceable to some, especially with it's high amount of postive energy. "
95,In This Mess,Say Sue Me,2025-04-22,G Major,9B,103,5,/track/5OjGj4GGm0RssCpjUQpcNA/In-This-Mess-by-Say-Sue-Me,"Say Sue Me's 'In This Mess' had a release date set for April 22, 2025. Since This song is still less than 10 minute long, it is still considered a pretty long duration song compared to the average song length. This song does not appear to be explicit due to the lack of the ""E"" tag. Because this song is the only song in In This Mess and no other songs are present in the album, we classify this track as a single. On top of that, United Kingdom appears to be the country where this track was created. In terms of popularity, In This Mess is currently not that popular. In our opinion, the overall tone is not very danceable and projects negative sounds, such as being sad, depressed, or angry. "
96,GPS,"DFZM, Jombriel, Jowell & Randy",2025-04-24,D♭ Major,3B,119,5,/track/4ayXvu5SyyKs16XyExkEjA/GPS-by-DFZM-Jombriel-Jowell-Randy,"On April 24, 2025, the song ""GPS"" was released by DFZM, Jombriel, Jowell & Randy. GPS is explicit and may not be suitable for children. With the duration being about 3:51, this song is close to the average duration of a typical track. Because this song is the only song in GPS and no other songs are present in the album, we classify this track as a single. On top of that, United States appears to be the country where this track was created. In terms of popularity, GPS is currently unknown. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
97,I Don´t Feel,Aggy Ally,2025-04-25,A Minor,8A,86,4,/track/3wqEwrMnhMUboJRVx0cknF/I-Dont-Feel-by-Aggy-Ally,"Aggy Ally's 'I Don´t Feel' had a release date set for April 25, 2025. The duration of This song is about 3 minutes long, at 3:28. Based on our data, This song appears to be safe for all ages and is not considered explicit. This track is about the average length of a typical track. Because this song is the only song in I Don´t Feel and no other songs are present in the album, we classify this track as a single. On top of that, Sweden appears to be the country where this track was created. I Don´t Feel is unknown right now. Although the tone can be danceable to some, this track does projects more of a negative sound rather than a postive one. "
98,How To Get Her,John Morgan,2025-04-25,B Major,1B,102,8,/track/2gyS1NY8ThGPxgQE08U6ea/How-To-Get-Her-by-John-Morgan,"John Morgan's 'How To Get Her' had a release date set for April 25, 2025. With this song being about 5 minutes long, at This song is fairly a long song compared to the average song length. This song does not have an ""Explicit"" tag, making it safe for all ages. The song is number 12 out of 12 in Carolina Blue by John Morgan. In terms of popularity, How To Get Her is currently unknown. Although the tone can be danceable to some, this track does projects more of a negative sound rather than a postive one. "
99,Speed Dating,"DJ Sugarush, Jai Piccone, Hotel Rubio",2025-04-25,C Major,8B,145,9,/track/5j2sGJpwHBdSOiTBFG9cX0/Speed-Dating-by-DJ-Sugarush-Jai-Piccone-Hotel-Rubio,"DJ Sugarush, Jai Piccone, Hotel Rubio's 'Speed Dating' had a release date set for April 25, 2025. The duration of This song is about two minutes long, specifically at 2:47. This song does not appear to have any foul language. Speed Dating's duration is considered a little bit shorter than the average duration of a typical track. Since Speed Dating only contains only one song in the album, we like to consider this song as a single. Furthermore, we believe that the track originated from France. Based on our statistics, Speed Dating's popularity is unknown right now. Although the overall vibe is very danceable, it does project more negative sounds. "
100,luther (with sza),"Kendrick Lamar, SZA",,D Major,10B,138,,/track/45J4avUb9Ni0bnETYaYFVJ/luther-with-sza-by-Kendrick-Lamar-SZA,"Kendrick Lamar, SZA's ' ""luther (with sza)"" was released on its scheduled release date, November 22, 2024. The duration of This song is about two minutes long, specifically at 2:57. This song does not appear to have any foul language. luther (with sza)'s duration is considered a little bit shorter than the average duration of a typical track. The track order of this song in Kendrick Lamar's ""GNX"" album is number 3 out of 12. On top of that, United States appears to be the country where this track was created. Based on our statistics, luther (with sza)'s popularity is very popular right now. Even with the track produces more of a neutral energy, it is pretty danceable compared to others."
101,NOKIA,Drake,,F Major,7B,106,,/track/2u9S9JJ6hTZS3Vf22HOZKg/NOKIA-by-Drake,"Drake's ' ""NOKIA"" was released on its scheduled release date, February 14, 2025. NOKIA is explicit and may not be suitable for children. With the duration being about 4:01, this song is close to the average duration of a typical track. There is only one song in $ome $exy $ongs 4 U, so we believe that ""NOKIA"" is a single. In terms of popularity, NOKIA is currently very popular. Since there is more of a neutral sound being played, this makes the track somewhat danceable."
102,Die With A Smile,"Lady Gaga, Bruno Mars",,F♯ Minor,11A,158,,/track/2plbrEY59IikOBgBGLjaoe/Die-With-A-Smile-by-Lady-Gaga-Bruno-Mars,"Lady Gaga, Bruno Mars's ' ""Die With A Smile"" was released on its scheduled release date, August 16, 2024. With this song being around four minutes long, at 4:11, the duration of this song is pretty average compared to other songs. This track is safe for children and doesn't appear to contain any foul language, since the ""Explicit"" tag was not present in this track. Because this song is the only song in Die With A Smile and no other songs are present in the album, we classify this track as a single. Going off of the ISRC code of this track, we detected that the origin of this track is from United States. Based on our statistics, Die With A Smile's popularity is very popular right now. Since there is more of a neutral sound being played, this makes the track somewhat danceable."
103,All The Way (feat. Bailey Zimmerman),"BigXthaPlug, Bailey Zimmerman",,D♭ Minor,12A,135,,/track/73kIKvg65QWieOKXIwyLJP/All-The-Way-feat-Bailey-Zimmerman-by-BigXthaPlug-Bailey-Zimmerman,"BigXthaPlug, Bailey Zimmerman's ' ""All The Way (feat. Bailey Zimmerman)"" was released on its scheduled release date, April 4, 2025. All The Way (feat. Bailey Zimmerman) is 2 minutes and 45 seconds long and may contain bad words that may be unsuitable for children. Because this song is the only song in All The Way (feat. Bailey Zimmerman) and no other songs are present in the album, we classify this track as a single. Based on our statistics, All The Way (feat. Bailey Zimmerman)'s popularity is pretty popular right now. Even with the track produces more of a neutral energy, it is pretty danceable compared to others."
104,Pink Pony Club,Chappell Roan,,D Major,10B,124,,/track/1k2pQc5i348DCHwbn5KTdc/Pink-Pony-Club-by-Chappell-Roan,"Chappell Roan's ' ""Pink Pony Club"" was released on its scheduled release date, September 22, 2023. With this song being around four minutes long, at 4:18, the duration of this song is pretty average compared to other songs. This track is safe for children and doesn't appear to contain any foul language, since the ""Explicit"" tag was not present in this track. There are a total of 14 in the song's album ""The Rise and Fall of a Midwest Princess"". In this album, this song's track order is #11. Furthermore, we believe that the track originated from United States. Based on our statistics, Pink Pony Club's popularity is pretty popular right now. Since there is more of a neutral sound being played, this makes the track somewhat danceable."
105,A Bar Song (Tipsy),Shaboozey,,A Major,11B,81,,/track/2FQrifJ1N335Ljm3TjTVVf/A-Bar-Song-Tipsy-by-Shaboozey,"Shaboozey's ' ""A Bar Song (Tipsy)"" was released on its scheduled release date, April 12, 2024. A Bar Song (Tipsy) is 2 minutes and 51 seconds long and may contain bad words that may be unsuitable for children. Because this song is the only song in A Bar Song (Tipsy) and no other songs are present in the album, we classify this track as a single. Going off of the ISRC code of this track, we detected that the origin of this track is from United States. A Bar Song (Tipsy) is pretty popular right now. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
106,Ordinary,Alex Warren,,D Major,10B,112,,/track/6qqrTXSdwiJaq8SO0X2lSe/Ordinary-by-Alex-Warren,"Alex Warren's 'Ordinary' had a release date set for February 7, 2025. The duration of This song is about 3 minutes long, at 3:06. Based on our data, This song appears to be safe for all ages and is not considered explicit. This track is about the average length of a typical track. Since Ordinary only contains only one song in the album, we like to consider this song as a single. Furthermore, we believe that the track originated from United States. In terms of popularity, Ordinary is currently very popular. Although the tone can be danceable to some, this track does projects more of a negative sound rather than a postive one. "
107,Lose Control,Teddy Swims,,A Major,11B,160,,/track/6usohdchdzW9oML7VC4Uhk/Lose-Control-by-Teddy-Swims,"Teddy Swims's 'Lose Control' had a release date set for June 23, 2023. With this song being around four minutes long, at 3:30, the duration of this song is pretty average compared to other songs. This track is safe for children and doesn't appear to contain any foul language, since the ""Explicit"" tag was not present in this track. Because this song is the only song in Lose Control and no other songs are present in the album, we classify this track as a single. On top of that, United States appears to be the country where this track was created. The popularity of Lose Control is currently pretty popular right now. Although the tone can be danceable to some, this track does projects more of a negative sound rather than a postive one. "
108,I'm The Problem,Morgan Wallen,,D♭ Major,3B,117,,/track/3HlWVKwU0JqJXqJK9DWHnZ/Im-The-Problem-by-Morgan-Wallen,"Morgan Wallen's ' ""I'm The Problem"" was released on its scheduled release date, January 31, 2025. The duration of This song is about two minutes long, specifically at 2:57. This song does not appear to have any foul language. I'm The Problem's duration is considered a little bit shorter than the average duration of a typical track. Because this song is the only song in I'm The Problem and no other songs are present in the album, we classify this track as a single. On top of that, United States appears to be the country where this track was created. In terms of popularity, I'm The Problem is currently pretty popular. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
109,Beautiful Things,Benson Boone,,E Major,12B,82,,/track/6tNQ70jh4OwmPGpYy6R2o9/Beautiful-Things-by-Benson-Boone,"Benson Boone's ' ""Beautiful Things"" was released on its scheduled release date, January 18, 2024. The duration of This song is about 3 minutes long, at 3:00. Based on our data, This song appears to be safe for all ages and is not considered explicit. This track is about the average length of a typical track. Because this song is the only song in Beautiful Things and no other songs are present in the album, we classify this track as a single. Going off of the ISRC code of this track, we detected that the origin of this track is from United States. Beautiful Things is pretty popular right now. Since there is more of a neutral sound being played, this makes the track somewhat danceable."
110,BIRDS OF A FEATHER,Billie Eilish,,G Major,9B,110,,/track/6dOtVTDdiauQNBQEDOtlAB/BIRDS-OF-A-FEATHER-by-Billie-Eilish,"Billie Eilish's ' ""BIRDS OF A FEATHER"" was released on its scheduled release date, May 17, 2024. With this song being around four minutes long, at 3:30, the duration of this song is pretty average compared to other songs. This track is safe for children and doesn't appear to contain any foul language, since the ""Explicit"" tag was not present in this track. The track order of this song in Billie Eilish's ""HIT ME HARD AND SOFT"" album is number 4 out of 10. On top of that, United States appears to be the country where this track was created. In terms of popularity, BIRDS OF A FEATHER is currently one of the hottest tracks right now. Even with the track produces more of a neutral energy, it is pretty danceable compared to others."
111,Just In Case,Morgan Wallen,,B♭ Major,6B,146,,/track/02Ya2Q08bBKFqUJvjmyRXK/Just-In-Case-by-Morgan-Wallen,"Morgan Wallen's ' ""Just In Case"" was released on its scheduled release date, March 21, 2025. The duration of This song is about two minutes long, specifically at 2:46. This song does not appear to have any foul language. Just In Case's duration is considered a little bit shorter than the average duration of a typical track. Because this song is the only song in Just In Case and no other songs are present in the album, we classify this track as a single. On top of that, United States appears to be the country where this track was created. Based on our statistics, Just In Case's popularity is pretty popular right now. Even with the track produces more of a neutral energy, it is pretty danceable compared to others."
112,APT.,"ROSÉ, Bruno Mars",,C Minor,5A,149,,/track/5vNRhkKd0yEAg8suGBpjeY/APT-by-ROS-Bruno-Mars,"On October 18, 2024, the song ""APT."" was released by ROSÉ, Bruno Mars. The duration of This song is about two minutes long, specifically at 2:49. This song does not appear to have any foul language. APT.'s duration is considered a little bit shorter than the average duration of a typical track. Because this song is the only song in APT. and no other songs are present in the album, we classify this track as a single. Going off of the ISRC code of this track, we detected that the origin of this track is from United States. Based on our statistics, APT.'s popularity is very popular right now. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
113,Anxiety,Doechii,,C Major,8B,129,,/track/1musbempyJAw5gfSKZHXP9/Anxiety-by-Doechii,"On March 5, 2025, the song ""Anxiety"" was released by Doechii. Anxiety is explicit and may not be suitable for children. With the duration being about 4:09, this song is close to the average duration of a typical track. The song is number 1 out of 2 in Anxiety by Doechii. Going off of the ISRC code of this track, we detected that the origin of this track is from United States. Based on our statistics, Anxiety's popularity is very popular right now. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
114,That’s So True,Gracie Abrams,,C Major,8B,150,,/track/7ne4VBA60CxGM75vw0EYad/Thats-So-True-by-Gracie-Abrams,"Gracie Abrams's 'That’s So True' had a release date set for October 18, 2024. That’s So True is 2 minutes and 46 seconds long and may contain bad words that may be unsuitable for children. There are a total of 20 in the song's album ""The Secret of Us (Deluxe)"". In this album, this song's track order is #15. Furthermore, we believe that the track originated from United States. Based on our statistics, That’s So True's popularity is very popular right now. Although the tone can be danceable to some, this track does projects more of a negative sound rather than a postive one. "
115,Not Like Us,Kendrick Lamar,,D♭ Major,3B,101,,/track/6AI3ezQ4o3HUoP6Dhudph3/Not-Like-Us-by-Kendrick-Lamar,"Kendrick Lamar's 'Not Like Us' had a release date set for May 4, 2024. This song is quite longer than the average track at 4 minutes and 34 seconds. With that being said, this track is also considered explicit and may be offensive to some people. Because this song is the only song in Not Like Us and no other songs are present in the album, we classify this track as a single. Furthermore, we believe that the track originated from United States. In terms of popularity, Not Like Us is currently very popular. Although the overall vibe is very danceable, it does project more negative sounds. "
116,Espresso,Sabrina Carpenter,,C Major,8B,104,,/track/2qSkIjg1o9h3YT9RAgYN75/Espresso-by-Sabrina-Carpenter,"Sabrina Carpenter's ' ""Espresso"" was released on its scheduled release date, April 12, 2024. Espresso is 2 minutes and 55 seconds long and may contain bad words that may be unsuitable for children. Because this song is the only song in Espresso and no other songs are present in the album, we classify this track as a single. Going off of the ISRC code of this track, we detected that the origin of this track is from United States. In terms of popularity, Espresso is currently very popular. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
117,tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",,F♯ Minor,11A,100,,/track/0aB0v4027ukVziUGwVGYpG/tv-off-feat-lefty-gunplay-by-Kendrick-Lamar-Lefty-Gunplay,"Kendrick Lamar, Lefty Gunplay's ' ""tv off (feat. lefty gunplay)"" was released on its scheduled release date, November 22, 2024. tv off (feat. lefty gunplay) is explicit and may not be suitable for children. With the duration being about 3:40, this song is close to the average duration of a typical track. The track order of this song in Kendrick Lamar's ""GNX"" album is number 7 out of 12. On top of that, United States appears to be the country where this track was created. In terms of popularity, tv off (feat. lefty gunplay) is currently very popular. Even with the track produces more of a neutral energy, it is pretty danceable compared to others."
118,Love Somebody,Morgan Wallen,,F Minor,4A,122,,/track/7hR22TOX3RorxJPcsz5Wbo/Love-Somebody-by-Morgan-Wallen,"Morgan Wallen's ' ""Love Somebody"" was released on its scheduled release date, October 18, 2024. The duration of This song is about 3 minutes long, at 3:24. Based on our data, This song appears to be safe for all ages and is not considered explicit. This track is about the average length of a typical track. Because this song is the only song in Love Somebody and no other songs are present in the album, we classify this track as a single. On top of that, United States appears to be the country where this track was created. Based on our statistics, Love Somebody's popularity is pretty popular right now. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
119,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",,G Major,9B,128,,/track/7221xIgOnuakPdLqT0F3nP/I-Had-Some-Help-Feat-Morgan-Wallen-by-Post-Malone-Morgan-Wallen,"Post Malone, Morgan Wallen's ' ""I Had Some Help (Feat. Morgan Wallen)"" was released on its scheduled release date, May 10, 2024. I Had Some Help (Feat. Morgan Wallen) is 2 minutes and 58 seconds long and may contain bad words that may be unsuitable for children. Because this song is the only song in I Had Some Help and no other songs are present in the album, we classify this track as a single. On top of that, United States appears to be the country where this track was created. Based on our statistics, I Had Some Help (Feat. Morgan Wallen)'s popularity is pretty popular right now. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
120,MUTT,Leon Thomas,,C Major,8B,135,,/track/1mh9eHVRdNhzryG43PXdW1/MUTT-by-Leon-Thomas,"Leon Thomas's 'MUTT' had a release date set for August 9, 2024. MUTT is considered explicit and may contain foul language. This song is about 3 minutes and 13 seconds, which is about the average length of a typical song. Because this song is the only song in MUTT and no other songs are present in the album, we classify this track as a single. On top of that, United States appears to be the country where this track was created. Based on our statistics, MUTT's popularity is pretty popular right now. Although the tone can be danceable to some, this track does projects more of a negative sound rather than a postive one. "
121,Messy,Lola Young,,D♭ Major,3B,117,,/track/3SKH53SPQbEnZR4cJPVaz2/Messy-by-Lola-Young,"Lola Young's ' ""Messy"" was released on its scheduled release date, May 30, 2024. This song is quite longer than the average track at 4 minutes and 44 seconds. With that being said, this track is also considered explicit and may be offensive to some people. The track order of this song in Lola Young's ""Messy"" album is number 1 out of 6. On top of that, United Kingdom appears to be the country where this track was created. In terms of popularity, Messy is currently very popular. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
122,squabble up,Kendrick Lamar,,C Major,8B,104,,/track/0nj9Bq5sHDiTxSHunhgkFb/squabble-up-by-Kendrick-Lamar,"Kendrick Lamar's ' ""squabble up"" was released on its scheduled release date, November 22, 2024. squabble up is 2 minutes and 37 seconds long and may contain bad words that may be unsuitable for children. The track order of this song in Kendrick Lamar's ""GNX"" album is number 2 out of 12. On top of that, United States appears to be the country where this track was created. In terms of popularity, squabble up is currently very popular. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
123,Sports car,Tate McRae,,G Major,9B,94,,/track/2zOmS55knKWSgScYPTNmGQ/Sports-car-by-Tate-McRae,"Tate McRae's ' ""Sports car"" was released on its scheduled release date, January 24, 2025. The duration of This song is about two minutes long, specifically at 2:45. This song does not appear to have any foul language. Sports car's duration is considered a little bit shorter than the average duration of a typical track. There are a total of 3 in the song's album ""Sports car"". In this album, this song's track order is #1. Furthermore, we believe that the track originated from United States. In terms of popularity, Sports car is currently pretty popular. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
124,30 For 30 (with Kendrick Lamar),"SZA, Kendrick Lamar",,D♭ Minor,12A,140,,/track/3aSWXU6owkZeVhh94XxEWO/30-For-30-with-Kendrick-Lamar-by-SZA-Kendrick-Lamar,"SZA, Kendrick Lamar's ' ""30 For 30 (with Kendrick Lamar)"" was released on its scheduled release date, December 20, 2024. This song is quite longer than the average track at 4 minutes and 38 seconds. With that being said, this track is also considered explicit and may be offensive to some people. There are a total of 38 in the song's album ""SOS Deluxe: LANA"". In this album, this song's track order is #3. Furthermore, we believe that the track originated from United States. Based on our statistics, 30 For 30 (with Kendrick Lamar)'s popularity is pretty popular right now. Even with the track produces more of a neutral energy, it is pretty danceable compared to others."
125,Timeless (feat. Playboi Carti),"The Weeknd, Playboi Carti",,B Minor,10A,120,,/track/1Es7AUAhQvapIcoh3qMKDL/Timeless-feat-Playboi-Carti-by-The-Weeknd-Playboi-Carti,"The Weeknd, Playboi Carti's ' ""Timeless (feat. Playboi Carti)"" was released on its scheduled release date, September 27, 2024. Timeless (feat. Playboi Carti) is explicit and may not be suitable for children. With the duration being about 4:16, this song is close to the average duration of a typical track. Since Timeless only contains only one song in the album, we like to consider this song as a single. Furthermore, we believe that the track originated from United States. Based on our statistics, Timeless (feat. Playboi Carti)'s popularity is fairly popular right now. Even with the track produces more of a neutral energy, it is pretty danceable compared to others."
126,Taste,Sabrina Carpenter,,D♭ Major,3B,90,,/track/5G2f63n7IPVPPjfNIGih7Q/Taste-by-Sabrina-Carpenter,"Sabrina Carpenter's 'Taste' had a release date set for August 23, 2024. The duration of This song is about two minutes long, specifically at 2:37. This song does not appear to have any foul language. Taste's duration is considered a little bit shorter than the average duration of a typical track. There are a total of 12 in the song's album ""Short n' Sweet"". In this album, this song's track order is #1. Furthermore, we believe that the track originated from United States. In terms of popularity, Taste is currently very popular. Although the overall vibe is very danceable, it does project more negative sounds. "
127,Azizam,Ed Sheeran,,F♯ Major,2B,128,,/track/0GRc3eGTg8HBdWLRGYgqIc/Azizam-by-Ed-Sheeran,"On April 4, 2025, the song ""Azizam"" was released by Ed Sheeran. The duration of This song is about two minutes long, specifically at 2:42. This song does not appear to have any foul language. Azizam's duration is considered a little bit shorter than the average duration of a typical track. Because this song is the only song in Azizam and no other songs are present in the album, we classify this track as a single. Going off of the ISRC code of this track, we detected that the origin of this track is from United Kingdom. Based on our statistics, Azizam's popularity is pretty popular right now. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
128,I Never Lie,Zach Top,,E♭ Major,5B,108,,/track/3t6gUcGYLrUuqwpXjOFWQc/I-Never-Lie-by-Zach-Top,"Zach Top's ' ""I Never Lie"" was released on its scheduled release date, April 5, 2024. With this song being around four minutes long, at 3:44, the duration of this song is pretty average compared to other songs. This track is safe for children and doesn't appear to contain any foul language, since the ""Explicit"" tag was not present in this track. The song is number 11 out of 12 in Cold Beer & Country Music by Zach Top. In terms of popularity, I Never Lie is currently pretty popular. Even with the track produces more of a neutral energy, it is pretty danceable compared to others."
129,Stargazing,Myles Smith,,D♭ Minor,12A,124,,/track/3Vr3zh0r7ALn8VLqCiRR10/Stargazing-by-Myles-Smith,"Myles Smith's 'Stargazing' had a release date set for May 10, 2024. The duration of This song is about two minutes long, specifically at 2:52. This song does not appear to have any foul language. Stargazing's duration is considered a little bit shorter than the average duration of a typical track. Since Stargazing only contains only one song in the album, we like to consider this song as a single. Furthermore, we believe that the track originated from United Kingdom. Based on our statistics, Stargazing's popularity is pretty popular right now. Although the overall vibe is very danceable, it does project more negative sounds. "
130,No One Noticed,The Marías,,G Major,9B,98,,/track/3siwsiaEoU4Kuuc9WKMUy5/No-One-Noticed-by-The-Maras,"The Marías's ' ""No One Noticed"" was released on its scheduled release date, May 31, 2024. With this song being around four minutes long, at 3:56, the duration of this song is pretty average compared to other songs. This track is safe for children and doesn't appear to contain any foul language, since the ""Explicit"" tag was not present in this track. There are a total of 14 in the song's album ""Submarine"". In this album, this song's track order is #11. Furthermore, we believe that the track originated from United States. In terms of popularity, No One Noticed is currently very popular. Even with the track produces more of a neutral energy, it is pretty danceable compared to others."
131,I'm A Little Crazy,Morgan Wallen,,A Major,11B,150,,/track/7igCS2ZsfV7bvxuhF4XgiQ/Im-A-Little-Crazy-by-Morgan-Wallen,"Morgan Wallen's 'I'm A Little Crazy' had a release date set for March 21, 2025. The duration of This song is about 3 minutes long, at 3:19. Based on our data, This song appears to be safe for all ages and is not considered explicit. This track is about the average length of a typical track. Because this song is the only song in I'm A Little Crazy and no other songs are present in the album, we classify this track as a single. On top of that, United States appears to be the country where this track was created. Based on our statistics, I'm A Little Crazy's popularity is pretty popular right now. Although the overall vibe is very danceable, it does project more negative sounds. "
132,Dark Thoughts,Lil Tecca,,D♭ Minor,12A,102,,/track/7EW7Yivb93qKAtp5qEm5of/Dark-Thoughts-by-Lil-Tecca,"Lil Tecca's ' ""Dark Thoughts"" was released on its scheduled release date, March 14, 2025. Dark Thoughts is 2 minutes and 16 seconds long and may contain bad words that may be unsuitable for children. Because this song is the only song in Dark Thoughts and no other songs are present in the album, we classify this track as a single. Going off of the ISRC code of this track, we detected that the origin of this track is from United States. In terms of popularity, Dark Thoughts is currently very popular. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
133,Caramel,Sleep Token,,F Minor,4A,94,,/track/3AdXwuFn7j21HNiFMXvZXt/Caramel-by-Sleep-Token,"Sleep Token's 'Caramel' had a release date set for April 4, 2025. With this song being about 5 minutes long, at This song is fairly a long song compared to the average song length. This song does not have an ""Explicit"" tag, making it safe for all ages. Because this song is the only song in Caramel and no other songs are present in the album, we classify this track as a single. Going off of the ISRC code of this track, we detected that the origin of this track is from United States. In terms of popularity, Caramel is currently pretty popular. Although the overall vibe is very danceable, it does project more negative sounds. "
134,DENIAL IS A RIVER,Doechii,,C Major,8B,113,,/track/1eTaznNW4Xxtx9za2SMTXB/DENIAL-IS-A-RIVER-by-Doechii,"Doechii's ' ""DENIAL IS A RIVER"" was released on its scheduled release date, August 30, 2024. DENIAL IS A RIVER is 2 minutes and 39 seconds long and may contain bad words that may be unsuitable for children. The song is number 4 out of 19 in Alligator Bites Never Heal by Doechii. Going off of the ISRC code of this track, we detected that the origin of this track is from United States. In terms of popularity, DENIAL IS A RIVER is currently very popular. The overall mood can be danceable to some, especially with it's high amount of postive energy. "
135,Sailor Song,Gigi Perez,,B Major,1B,95,,/track/0UYnhUfnUj5adChuAXvLUB/Sailor-Song-by-Gigi-Perez,"Gigi Perez's 'Sailor Song' had a release date set for July 26, 2024. With this song being around four minutes long, at 3:31, the duration of this song is pretty average compared to other songs. This track is safe for children and doesn't appear to contain any foul language, since the ""Explicit"" tag was not present in this track. Since Sailor Song only contains only one song in the album, we like to consider this song as a single. Furthermore, we believe that the track originated from United States. In terms of popularity, Sailor Song is currently below average in popularity. Although the tone can be danceable to some, this track does projects more of a negative sound rather than a postive one. "
136,Bad Dreams,Teddy Swims,,A♭ Major,4B,125,,/track/3nHuKdFJZm78CoeBnDcFKe/Bad-Dreams-by-Teddy-Swims,"Teddy Swims's ' ""Bad Dreams"" was released on its scheduled release date, September 13, 2024. The duration of This song is about 3 minutes long, at 3:04. Based on our data, This song appears to be safe for all ages and is not considered explicit. This track is about the average length of a typical track. Because this song is the only song in Bad Dreams and no other songs are present in the album, we classify this track as a single. Going off of the ISRC code of this track, we detected that the origin of this track is from United States. Based on our statistics, Bad Dreams's popularity is pretty popular right now. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
137,Abracadabra,Lady Gaga,,F Minor,4A,136,,/track/5ZLUm9eab8y3tqQ1OhQSHI/Abracadabra-by-Lady-Gaga,"Lady Gaga's ' ""Abracadabra"" was released on its scheduled release date, February 3, 2025. With this song being around four minutes long, at 3:43, the duration of this song is pretty average compared to other songs. This track is safe for children and doesn't appear to contain any foul language, since the ""Explicit"" tag was not present in this track. Because this song is the only song in Abracadabra and no other songs are present in the album, we classify this track as a single. Going off of the ISRC code of this track, we detected that the origin of this track is from United States. Based on our statistics, Abracadabra's popularity is very popular right now. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
138,"Good Luck, Babe!",Chappell Roan,,B Minor,10A,117,,/track/0WbMK4wrZ1wFSty9F7FCgu/Good-Luck-Babe-by-Chappell-Roan,"Chappell Roan's ' ""Good Luck, Babe!"" was released on its scheduled release date, April 5, 2024. With this song being around four minutes long, at 3:38, the duration of this song is pretty average compared to other songs. This track is safe for children and doesn't appear to contain any foul language, since the ""Explicit"" tag was not present in this track. Because this song is the only song in Good Luck, Babe! and no other songs are present in the album, we classify this track as a single. On top of that, United States appears to be the country where this track was created. In terms of popularity, Good Luck, Babe! is currently very popular. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
